en,ja
the,インクルード
of,の
and,そして
to,に
in,に
i,私
that,それ
was,ました
his,彼の
he,彼
it,それ
with,とともに
is,あります
for,にとって
as,なので
had,持っていました
you,君は
not,ではありません
be,されます
her,彼女の
on,オン
at,に
by,沿って
which,これ
have,持ってる
or,若しくは
from,から
this,この
him,彼を
but,だが
all,すべて
she,彼女
they,彼ら
were,ました
my,じぶんの
are,あります
me,私に
one,1
their,彼らの
so,そう
an,AN
said,前記
them,それら
we,我々
who,WHO
would,でしょう
been,き
will,意志
no,番号
when,いつ
there,そこ
if,もし
more,もっと
out,でる
up,アップ
into,に
do,行う
any,どれか
your,君の
what,何
has,持っています
man,おとこ
could,たぶん......だろう
other,他の
than,より
our,私達の
some,いくつか
very,非常に
time,時間
upon,に
about,約
may,五月
its,それの
only,のみ
now,今
like,お気に入り
little,少し
then,それから
can,できる
should,SHOULD
made,製
did,した
us,我ら
such,そのような
a,A
great,すごい
before,前
must,必見
two,二
these,これら
see,見る
know,知っています
over,オーバー
much,はるかに
down,ダウン
after,後に
first,最初
Mr,氏
good,良い
men,男性
own,自分の
never,決して
most,最も
old,古い
shall,条
day,日
where,どこ
those,それら
came,来ました
come,来ます
himself,彼自身
way,仕方
work,作業
life,生活
without,無し
go,行きます
make,メイク
well,上手
through,使って
being,であること
long,長いです
say,いう
might,かもしれません
how,どうやって
am,午前
too,余りに
even,さえ
def,デフ
again,再び
many,たくさんの
back,バック
here,ここに
think,考えます
every,すべての
people,人
went,行ってきました
same,同じ
last,最終
thought,思想
away,先に
under,下
take,取る
found,ました
hand,手
eyes,視線
still,やはり
place,場所
while,同時に
just,ただ
also,さらに
young,若い
yet,未だ
though,にもかかわらず
against,に対して
things,物事
get,取得する
ever,今までに
give,与える
god,神
years,年
off,オフ
face,面
nothing,何も
right,正しい
once,一度
another,別の
left,左
part,部
saw,鋸
house,家
world,世界
head,頭
three,三
took,取った
new,新着
love,愛する
always,常に
Mrs,夫人
put,置きます
night,夜
each,各
king,キング
between,の間に
tell,伝えます
mind,マインド
heart,ハート
few,少数
because,なぜなら
thing,事
whom,誰
far,遥か
seemed,見えました
looked,見えました
called,呼ばれます
whole,全体
de,デ
set,セットする
both,どちらも
got,GOT
find,見つけます
done,行われ
heard,聞いた
look,外観
name,名前
days,日々
told,話しました
let,てみましょう
lord,主
country,国
asked,尋ね
going,行き
seen,見て
better,よりよいです
p,P
having,ました
home,家
knew,知っていました
side,側
something,何か
moment,瞬間
father,お父さん
among,間で
course,コース
hands,手
woman,女性
enough,足りる
words,言葉
mother,母
soon,やがて
full,いっぱい
end,終わり
gave,与えました
room,ルーム
almost,ほとんど
small,小さい
thou,あなた
cannot,できません
water,水
want,欲しいです
however,しかしながら
light,光
quite,かなり
brought,持ってきた
nor,も
word,語
whose,その
given,所与
door,ドア
best,ベスト
turned,投入
taken,とら
does,し
use,使用する
morning,朝
myself,私自身
Gutenberg,グーテンベルク
felt,フェルト
until,まで
since,から
power,パワー
themselves,自分自身
used,中古
rather,かなり
began,始めた
present,現在
voice,ボイス
others,他人
white,白い
works,ワークス
less,もっと少なく
money,お金
next,次
poor,貧しいです
death,死
stood,立っ
form,形
within,以内に
together,一緒
till,迄
thy,なた
large,大
matter,案件
kind,種類
often,しばしば
certain,一定
herself,彼女自身
year,年
friend,友人
half,ハーフ
order,注文
round,円形
TRUE,TRUE
anything,何でも
keep,保つ
sent,送信
wife,妻
means,手段
believe,信じます
passed,合格しました
feet,足
near,近く
public,公衆
state,状態
son,息子
hundred,百
children,子供達
thus,こうして
hope,望む
alone,一人で
above,上記
case,場合
dear,親愛な
thee,なた
says,言います
person,人
high,高い
read,読んだ
city,市
already,既に
received,受け
fact,事実
gone,ゴーン
girl,女の子
known,知られています
hear,聞く
times,回
least,最低
perhaps,多分
sure,承知しました
indeed,確かに
english,英語
open,開いた
body,体
itself,自体
along,沿って
land,土地
return,リターン
leave,休暇
air,空気
nature,自然
answered,答え
either,どちらか
law,法律
help,助けて
lay,素人
point,ポイント
child,子
letter,文字
four,四
wish,願い
fire,火
cried,泣きました
2,2
women,女子
speak,話す
number,数
therefore,故に
hour,時間
friends,友人
held,開催
free,自由
war,戦争
during,間に
several,いくつかの
business,ビジネス
whether,かどうか
er,えー
manner,やり方
second,第2
reason,理由
replied,答え
united,ユナイテッド
call,コール
general,一般的な
why,なぜ
behind,後ろに
became,なりました
john,ジョン
become,なります
dead,デッド
earth,地球
boy,男の子
lost,失われました
forth,前方へ
thousand,千
looking,見ること
I'll,I'LL
family,家族
soul,魂
feel,感じます
coming,到来
England,イングランド
spirit,精神
question,質問
care,お手入れ
truth,真実
ground,接地
really,本当に
rest,残り
mean,平均
different,異なります
making,作成
possible,可能
fell,落ちました
towards,向かって
human,人間
kept,保管
short,ショート
town,町
following,以下
need,必要
cause,原因
met,MET
evening,イブニング
returned,戻ってきた
five,五
strong,強い
able,できます
french,フランス語
live,住む
lady,レディ
subject,主題
sn,SN
answer,回答
sea,海
fear,恐れ
understand,理解する
hard,ハード
terms,条項
doubt,疑問に思う
around,周りに
ask,頼みます
arms,武器
turn,順番
sense,感覚
seems,そうです
black,黒
bring,持って来ます
followed,続きます
beautiful,綺麗な
close,閉じる
dark,闇
hold,ホールド
character,キャラクター
sort,ソート
sight,視力
ten,十
show,公演
party,パーティー
fine,罰金
ye,あなたがた
ready,準備ができて
story,物語
common,一般
book,本
electronic,電子
talk,トーク
account,アカウント
mark,マーク
interest,関心
written,書かれました
can't,できません
bed,ベッド
necessary,必要
age,年齢
else,そうしないと
force,力
idea,考え
longer,より長いです
art,アート
spoke,話した
across,横切って
brother,兄
early,早いです
ought,べき
sometimes,時々
line,ライン
saying,格言
table,テーブル
appeared,登場
river,川
continued,続け
eye,眼
ety,ETY
sun,太陽
information,情報
later,後
everything,すべて
reached,達しました
suddenly,突然
past,過去
hours,時間
strange,奇妙
deep,深い
change,変化する
miles,マイル
feeling,感じ
act,行為
meet,会います
paid,支払いました
further,さらに
purpose,目的
happy,ハッピー
added,追加
seem,思われる
taking,撮影
blood,血液
rose,ローズ
south,南
beyond,超えて
cold,コールド
neither,どちらもありません
forward,前方に
view,見る
I've,Iのき
position,ポジション
sound,音
none,無し
entered,入力されました
clear,晴れ
road,道路
late,遅く
stand,スタンド
suppose,思います
la,ラ
daughter,娘
real,リアル
nearly,ほとんど
mine,私の
laws,法制
knowledge,知識
comes,来ます
toward,方へ
bad,悪い
cut,切る
copy,コピー
husband,夫
six,六
France,フランス
living,生活
peace,平和
didn't,しませんでした
low,低いです
north,北
remember,思い出します
effect,効果
natural,ナチュラル
pretty,可愛い
fall,秋
fair,公正な
service,サービス
below,未満
except,除きます
American,アメリカン
hair,ヘア
London,ロンドン
laid,レイド
pass,パス
led,導いた
copyright,著作権
doing,やっ
army,軍
run,ラン
horse,うま
future,未来
opened,開かれました
pleasure,喜び
history,歴史
west,西
pay,支払う
red,赤
an',」
4,4
hath,かれら
note,注意
although,であるが
wanted,欲しいです
gold,ゴールド
makes,MAKES
desire,慾望
play,演奏する
master,主人
office,オフィス
tried,試してみました
front,前面
big,大きい
Dr,博士
lived,住んでいました
certainly,もちろん
wind,風
receive,受け取ります
attention,注意
government,政府
unto,わたし
church,教会
strength,力
length,長さ
company,会社
placed,置いた
paper,論文
letters,手紙
probably,恐らく
glad,嬉しいです
important,重要
especially,特に
greater,大きいです
yourself,自分自身
fellow,仲間
bear,くま
opinion,意見
window,窓
ran,RAN
faith,信仰
ago,前
agreement,契約
charge,充電
beauty,美しさ
lips,唇
remained,残りました
arm,腕
latter,後者
duty,関税
send,送信
distance,距離
silence,沈黙
foot,足
wild,野生
object,オブジェクト
die,死にます
save,セーブ
gentleman,紳士
trees,木
green,緑
trouble,トラブル
smile,スマイル
books,図書
wrong,違う
various,諸
sleep,睡眠
persons,人
blockquote,BLOCKQUOTE
happened,起こりました
particular,特定の
drew,ドリュー
minutes,分
hardly,漸く
walked,歩きました
chief,チーフ
chance,機会
according,従っ
beginning,初め
action,アクション
deal,対処
loved,愛し
visit,訪問
thinking,考え
follow,従います
standing,常任
knows,知っています
try,試します
presence,プレゼンス
heavy,ヘビー
sweet,甘い
plain,平野
donations,寄付
immediately,直ちに
wrote,書きました
mouth,口
rich,リッチ
thoughts,感想
