zh,ja
一,一
在,存在
有,持ってる
個,ピース
我,NS
不,しない
這,これ
了,NS
他,彼
也,そしてまた、
就,一度に
人,人
都,全て
說,言う
而,と
我們,我ら
你,君
了,NS
要,欲しいです
會,ミーティング
對,正しい
及,と
和,と
與,と
以,に
很,非常に
種,親切
的,の
大,大
能,できる
著,書きます
她,彼女
那,それか
上,優れました
但,しかし
年,年
還,戻る
可以,できる
最,多くの
自己,自分の
為,にとって
來,来て
所,場所
他們,彼ら
兩,2
各,各
可,できる
為,にとって
或,また
好,それは良いのですか。
等,待って
又,また
將,意思
因為,なぜなら
於,で
由,による
從,から
更,平
被,キルト
才,タレント
已,すでに
者,者
每,毎日
次,二の町
把,バンドル
三,三つ
什麼,何
問題,問題
其,それか
讓,させて
此,これ
做,行う
再,また
所以,それで
只,それだけ
與,と
則,しかし
台灣,台湾
卻,しかし
並,と
位,位
想,考える
去,行く
呢,羅紗
學生,学生
表示,特急
到,到着
公司,会社
將,意思
如果,もしも
社會,社会
看,見て
小,小さな
天,空
因此,したがって
新,新着
但是,しかし
它,それ
中,真ん中
使,作る
工作,ジョブ
全,完了
覺得,感じられる
使用,使用する
這些,これらは
裡,中身
並,と
由於,により
時候,いつ
知道,知識
這樣,それで
一,一
認為,考える
時間,時間
事,事
過,合格
向,に向かって
可能,可能
中國,中国
美國,私たち
到,到着
和,と
幾,いくつかの
系統,システム
政府,政府
大家,みんな
國家,国家
許多,たくさんの
生活,人生
跟,と
已經,すでに
大學,大学
研究,リサーチ
因,なぜなら
本,本
二,2
活動,アクティビティ
該,したほうがいい
世界,世界
應,答え
四,四
希望,望み
方式,道
內,中身
項,アイテム
啊,何
下,下
環境,環境
一些,いくつか
必須,しなければならない
文化,文化
高,高い
孩子,子
沒有,いいえ
不能,できません
如,お気に入り
開始,始める
元,元
不同,違う
仍,まだ
網路,通信網
日本,日本
用,使用する
中心,中心
來,来て
對,正しい
雖然,でも
重要,重要
地方,場所
進行,行為
關係,関係
市場,市場
太,それも
老師,先生
提供,供給
學校,学校
應該,したほうがいい
指出,点
經濟,経済
其他,他の
家,家
發展,発展
教育,教育します
成為,なる
多,たくさんの
非常,非常に
便,それで
方面,側面
很多,たくさんの
吃,食べる
然後,それで
未,まだ
發現,探す
電腦,コンピューター
一樣,同じ
而且,と
心,心臓
不過,しかし
無法,できません。
企業,企業
正,ただ
服務,サービス
較,比較的
不會,しない
臺灣,台湾
曾,一度
嗎,NS
空間,スペース
看到,見る
五,ファイブ
如何,どうやって
國內,国内の
們,NS
無,なし
對於,にとって
以及,と同様
之後,後で
可是,しかし
當,いつ
人員,人員
比,比較
先,初め
產品,製品
資訊,ニュース
資料,素材
比較,比較
先生,諸君
地,土地
除了,の他に
