fr,ja
je,私
de,の
est,あります
pas,ではありません
le,インクルード
vous,君は
la,インクルード
tu,君は
que,より
un,A
il,彼
et,そして
à,に
a,に
ne,生まれ
les,インクルード
ce,この
en,に
on,我々
ça,それ
une,A
ai,持ってる
pour,にとって
des,の
moi,私に
qui,WHO
nous,我々
y,そこ
mais,だが
me,私に
dans,に
du,の
bien,良い
elle,それ
si,もし
tout,すべて
plus,もっと
non,番号
mon,じぶんの
suis,午前
te,君は
au,に
avec,とともに
va,行きます
oui,はい
toi,君は
fait,製
ils,彼ら
as,エース
être,することが
faire,メイク
se,彼自身
comme,なので
était,ました
sur,承知しました
quoi,何
ici,ここに
sais,知っています
lui,彼を
veux,欲しいです
ma,じぶんの
là,インクルード
rien,何も
dit,前記
es,ES
où,若しくは
votre,君の
pourquoi,なぜ
sont,あります
cette,この
quand,いつ
par,使って
son,彼の
ton,君の
peux,できる
vais,に行きます
dire,いう
alors,そう
comment,どのように？「や」何
avez,持ってる
bon,上手
ou,若しくは
très,非常に
merci,ありがとうございました
ont,持ってる
même,さえ
jamais,決して
aussi,余りに
voir,見る
chose,事
allez,行き
tous,すべて
deux,そのうちの
ces,これら
faut,SHOULD
sa,彼女の
êtes,あります
été,夏
ta,君の
fais,行う
avoir,持つため
peut,できる
autre,他の
m,メートル
encore,再び
maintenant,今
peu,少し
mes,じぶんの
vraiment,本当に
temps,時間
notre,私達の
toujours,常に
vie,生活
sans,無し
juste,公正な
oh,ああ
avait,持っていました
accord,契約
vu,見て
monde,世界
quelque,いくつか
fois,時間
aller,トーゴ
trop,過度に
viens,来ます
crois,考えます
dieu,神
dois,持ってる
homme,おとこ
père,パパ
sûr,承知しました
aux,へ
leur,彼らの
avant,前
étais,ました
besoin,必要
femme,女子
aime,愛する
personne,だれも
avais,持っていました
chez,に
vrai,真
ans,年
mal,違う
ses,彼の
parler,話す
vos,君の
après,後に
mort,死
veut,欲求
eu,持っていました
sera,なります
bonne,良い
parce,沿って
mieux,よりよいです
petit,小さい
voilà,ここに
tes,君の
ca,それ
dis,伝えます
beaucoup,たくさん
depuis,から
doit,必見
vois,見る
mère,母
vas,行き
monsieur,紳士
quel,何
déjà,既に
fille,女の子
gens,人
donc,故に
jour,日
soir,イブニング
autres,他の
ii,II
toute,すべて
bonjour,こんにちは
ll,それ
maison,家
nom,苗字
argent,銀
nos,私達の
ouais,ええ
pense,思想
merde,うんこ
nuit,夜
papa,パパ
cela,それ
salut,こんにちは
cet,この
